reviewer_id,review,summarize,aspect,token_sentence,token_lemma,rating
0,"So flattering and so comfortable! I am in love with this dress! It has a relaxed fit style as described, and I received compliments from my sister and a stranger when I was doing groceries haha. It has pockets and a zipper on the left side. The fabric is breathable and comfortable. It fits perfectly and has the perfect length. I paired it with beige sandals and a beige crossbody bag for a casual look. For reference I am 5'1 and got a size extra small. You can also click my name to see my profile for more items I love!", So flattering and so comfortable! I am in love with this dress! It has a relaxed fit style as described . It has pockets and a zipper on the left side . The fabric is breathable and comfortable .,"beige sandal, casual look, compliment, left side, fit style, pocket, crossbody bag, grocery, more item, name, fabric, perfect length, size, profile","It has a relaxed fit style as described.
and I received compliments from my sister and a stranger when I was doing groceries haha..
It has pockets and a zipper on the left side..
The fabric is breathable and comfortable..
It fits perfectly and has the perfect length..
I paired it with beige sandals and a beige crossbody bag for a casual look..
For reference I am 5'1 and got a size extra small..
You can also click my name to see my profile for more items I love!","it have a relaxed fit style as described.
and i receive compliment from my sister and a stranger when i be do grocery haha ..
it have pocket and a zipper on the left side ..
the fabric be breathable and comfortable ..
it fit perfectly and have the perfect length ..
i pair it with beige sandal and a beige crossbody bag for a casual look ..
for reference i be 5 ' 1 and get a size extra small ..
you can also click my name to see my profile for more item i love !",5
1,"Cute but It Pills Great color and pattern, with the on trend âslouchyâ look without being too oversized. Material began to pill after first wearing, and became worse after first washing. Did launder inside out in cold on hand wash cycle and line dried."," Material began to pill after first wearing, and became worse after first washing . Did launder inside out in cold on hand wash cycle and line dried .","great color, material, slouchy look, wash cycle, first washing, hand wash","Cute but It Pills Great color and pattern.
with the on trend slouchy look without being too oversized..
Material began to pill after first wearing.
and became worse after first washing..
Did launder inside out in cold on hand wash cycle and line dried.","cute but it pill great color and pattern.
with the on trend slouchy look without be too oversized ..
material begin to pill after first wearing.
and become bad after first washing ..
did launder inside out in cold on hand wash cycle and line dry .",3
2,"It fell apart after one wash One set fell apart after one wash. Threads came loose,the ""tie"" had only one string that I can get to. It was stamped with all the product info in dark black on the butt and you can see it on the outside. One of the worst things I have ever purchased"," One set fell apart after one wash . Threads came loose, the ""tie"" had only one string that I can get to . It was stamped with all the product info in dark black on the butt .","bad thing, string, set, thread, product info, wash, tie","It fell apart after one wash One set fell apart after one wash. Threads came loose.
the ""tie"" had only one string that I can get to..
It was stamped with all the product info in dark black on the.
One of the worst things I have ever purchased","it fell apart after one wash one set fell apart after one wash. thread come loose.
the `` tie '' have only one string that i can get to ..
it be stamp with all the product info in dark black on the.
one of the bad thing i have ever purchase",1
3,"Comfortable, nice color, but LOTS of pilling. I like the fit, weight, and color of this sweater a lot. I would have purchased more colors if the fabric didnât pull so badly so quickly. I try to take good care of sweaters and launder carefully, but even so this one looks pretty bad and is almost unwearable. I guess thatâs to be expected for the price."," Comfortable, nice color, but lots of pilling . I like the fit, weight, and color of this sweater a lot . I would have purchased more colors if the fabric pulled so badly so quickly .","purchase, good care, nice color, fit, fabric, look, weight, thats","nice color.
I like the fit.
weight.
I would have purchased more colors if the fabric didnt pull so badly so quickly..
I try to take good care of sweaters and launder carefully.
but even so this one looks pretty bad and is almost unwearable..
I guess thats to be expected for the price.","nice color.
i like the fit.
weight.
i would have purchase more color if the fabric didnt pull so badly so quickly ..
i try to take good care of sweater and launder carefully.
but even so this one look pretty bad and be almost unwearable ..
i guess thats to be expect for the price .",3
4,"Cute dress that.even a short, skinny old woman can wear and it covered all the necessary spots. Material is sheer. Make sure you aren't embarrassed in the sunlight."," Cute dress that.even a short, skinny old woman can wear and it covered all the necessary spots . Material is sheer. Material was sheer. Make sure you are not embarrassed in the sunlight.","necessary spot, material, old woman, woman skinny, dress that.even, cute dress","Cute dress that.even a short.
skinny old woman can wear and it covered all the necessary spots..
Material is sheer.","cute dress that.even a short.
skinny old woman can wear and it cover all the necessary spot ..
material be sheer .",5
5,"Nice pants horrible zipper I bought 6 pair of these when I tore the tendons in my shoulder, because  they were easy to pull on with one arm. I bought size 38, and they fit perfectly.  Unfortunately  the zipper in one of my pair  came undone from the teeth.lso it's the pair I wear the most ( 4 times) bur the return window closed already. Probably will have to take somewhere for new zipper now."," Nice pants horrible zipper I bought 6 pair of these when I tore the tendons in my shoulder, because  they were easy to pull on with one arm . I bought size 38, and they fit perfectly . Unfortunately  the zipper in one of my pair  came undone from the teeth .","horrible zipper, return window, arm, new zipper, nice pant, time, tendon, zipper unfortunately, pair, window close, size","Nice pants horrible zipper I bought 6 pair of these when I tore the tendons in my shoulder.
because  they were easy to pull on with one arm..
I bought size 38.
Unfortunately  the zipper in one of my pair  came undone from the teeth.lso it is the pair I wear the most  4 times bur the return window closed already..
Probably will have to take somewhere for new zipper now.","nice pant horrible zipper i buy 6 pair of these when i tear the tendon in my shoulder.
because they be easy to pull on with one arm ..
i buy size 38.
unfortunately the zipper in one of my pair come undone from the teeth.lso it be the pair i wear the most 4 time bur the return window close already ..
probably will have to take somewhere for new zipper now .",2
6,Positively agree All the rave reviews are true!  this vest is plush and funky and i love wearing it. i'm having fun figuring out different outfits to wear with this. this is a great three season layering piece and i'm thrilled i was able to get it on sale.  my only regret was the lack of a petite selection., The vest is plush and funky and i love wearing it. i am having fun figuring out different outfits to wear with this. This is a great three season layering piece and i am thrilled i was able to get it on sale .,"season layer, layer piece, only regret, different outfit, rave review, petite selection, vest, fun figure","Positively agree All the rave reviews are true!.
this vest is plush and funky and i love wearing it..
i am having fun figuring out different outfits to wear with this..
this is a great three season layering piece and i am thrilled i was able to get it on sale..
my only regret was the lack of a petite selection.","positively agree all the rave review be true !.
this vest be plush and funky and i love wear it ..
i be have fun figure out different outfit to wear with this ..
this be a great three season layer piece and i be thrill i be able to get it on sale ..
my only regret be the lack of a petite selection .",5
7,"Lightweight yet rugged This shirt is exactly what I needed for outdoor work in the sun.  It's lightweight to help you stay cool, yet rugged enough so that it doesn't feel flimsy and fall apart after several washes.  I am satisfied with this purchase.I've learned from experience that Columbia makes their stuff a little larger than its labeled size.  I normally wear an XL in most shirts, but the Large I ordered fits just right."," Lightweight yet rugged shirt is exactly what I needed for outdoor work in the sun . It is lightweight to help you stay cool, yet rugged enough so that it does not feel flimsy .","several wash, shirt, outdoor work, purchase.i, most shirt, fit, columbia satisfied, stuff","Lightweight yet rugged This shirt is exactly what I needed for outdoor work in the sun..
yet rugged enough so that it does not feel flimsy and fall apart after several washes..
I am satisfied with this purchase.I have learned from experience that Columbia makes their stuff a little larger than its labeled size..
I normally wear an XL in most shirts.
but the Large I ordered fits just right.","lightweight yet rugged this shirt be exactly what i need for outdoor work in the sun ..
yet rugged enough so that it do not feel flimsy and fall apart after several wash ..
i be satisfied with this purchase.i have learn from experience that columbia make their stuff a little large than its labeled size ..
i normally wear an xl in most shirt.
but the large i order fit just right .",5
8,"Very nice material, and good quality! After the first sweater I ordered was delivered, I ordered three more of different colors! Quality of material is very nice!"," Very nice material, and good quality! After the first sweater I ordered was delivered, I ordered three more of different colors! Quality of material is very nice!","quality, material, first sweater, good quality, different color, nice material","Very nice material.
and good quality!.
After the first sweater I ordered was delivered.
I ordered three more of different colors!.
Quality of material is very nice!","very nice material.
and good quality !.
after the first sweater i order be deliver.
i order three more of different color !.
quality of material be very nice !",5
9,LOVE IT i got the wrong size so I'm returning and getting the right size. GOT THE RIGHT SIZE AND LOVE IT., i got the wrong size so I am returning and getting the right size. LOVE IT i am returning . GOT the right SIZE AND LOVE IT. GOT the RIGHT SIZE and LOVE it. LOVE it .,"wrong size, right size","LOVE IT i got the wrong size so I am returning and getting the right size..
GOT THE RIGHT SIZE AND LOVE IT.","love it i get the wrong size so i be return and get the right size ..
get the right size and love it .",5
