node_id,NodeName
0,other
0,type
1,compliment
1,other
2,perfect
2,emotion
3,length
3,experience
4,pocket
4,properties
5,fit
5,experience
6,sandal
6,other
7,other
7,look
8,other
8,more
9,experience
9,side
10,properties
10,size
11,casual
11,other
12,fabric
12,properties
13,style
13,experience
14,other
14,other
15,properties
15,material
16,first
16,application
17,application
17,wash
18,look
18,other
19,emotion
19,great
20,color
20,properties
21,wash
21,application
22,other
22,other
23,other
23,thread
24,other
24,thing
25,service
25,other
26,good
26,emotion
27,emotion
27,nice
28,fit
28,experience
29,other
29,look
30,properties
30,color
31,purchase
31,other
32,fabric
32,properties
33,other
33,other
34,emotion
34,cute
35,material
35,properties
36,experience
36,spot
37,dress
37,type
38,time
38,application
39,time
39,service
40,other
40,other
41,properties
41,zipper
42,experience
42,arm
43,type
43,pant
44,nice
44,emotion
45,other
45,pair
46,other
46,horrible
47,properties
47,size
48,other
48,other
49,other
49,petite
50,other
50,layer
51,vest
51,type
52,piece
52,application
53,review
53,other
54,other
54,experience
55,experience
55,fit
56,type
56,shirt
57,application
57,wash
58,other
58,several
59,type
59,other
60,emotion
60,good
61,properties
61,material
62,first
62,application
63,nice
63,emotion
64,type
64,sweater
65,color
65,properties
66,quality
66,properties
67,type
67,other
68,right
68,experience
69,properties
69,size
70,other
70,other
71,cute
71,emotion
72,other
72,thing
73,fit
73,experience
74,type
74,sweater
75,horrible
75,other
76,size
76,properties
77,purchase
77,other
78,type
78,dress
79,emotion
79,nice
80,other
80,other
81,slip
81,experience
82,other
82,emotion
83,emotion
83,top
84,place
84,other
85,time
85,application
86,service
86,time
87,other
87,other
88,other
88,other
89,wear
89,experience
90,way
90,other
91,emotion
91,poor
92,properties
92,quality
93,other
93,other
94,other
94,sandal
95,other
95,comfortable
96,sweater
96,type
97,other
97,other
98,experience
98,length
99,order
99,other
100,top
100,emotion
101,review
101,other
102,style
102,experience
103,beautiful
103,emotion
104,other
104,other
105,other
105,black
106,type
106,shirt
107,other
107,other
108,properties
108,material
109,other
109,pair
110,other
110,short
111,other
111,other
112,experience
112,right
113,arm
113,experience
114,fit
114,experience
115,service
115,other
116,emotion
116,good
117,other
117,way
118,other
118,day
119,wash
119,application
120,other
120,look
121,properties
121,color
122,type
122,dress
123,properties
123,quality
124,properties
124,fabric
125,other
125,other
126,application
126,time
127,time
127,service
128,stain
128,other
129,other
129,other
130,short
130,other
131,first
131,application
132,pair
132,other
133,wash
133,application
134,color
134,properties
135,dress
135,type
136,review
136,other
137,size
137,properties
138,dress
138,type
139,other
139,type
140,size
140,properties
141,other
141,purchase
142,other
142,other
143,wear
143,experience
144,properties
144,fabric
145,experience
145,fit
146,other
146,other
147,quality
147,properties
148,quality
148,properties
149,nice
149,emotion
150,good
150,emotion
151,other
151,other
152,experience
152,wear
153,type
153,pant
154,pocket
154,properties
155,wash
155,application
156,several
156,other
157,poor
157,emotion
158,material
158,properties
159,other
159,type
160,sadly
160,other
161,emotion
161,great
162,service
162,price
163,experience
163,side
164,type
164,dress
165,properties
165,quality
166,properties
166,fabric
167,experience
167,style
168,other
168,other
169,emotion
169,cute
170,nice
170,emotion
171,vest
171,type
172,properties
172,color
173,application
173,piece
174,time
174,application
175,time
175,service
176,other
176,other
177,material
177,properties
178,wash
178,application
179,properties
179,color
180,emotion
180,few
181,emotion
181,great
182,dress
182,type
183,fabric
183,properties
184,experience
184,style
185,summer
185,application
186,type
186,other
187,few
187,emotion
188,other
188,other
189,fit
189,experience
190,other
190,other
191,experience
191,arm
192,properties
192,material
193,emotion
193,nice
194,shirt
194,type
195,color
195,properties
196,other
196,experience
197,emotion
197,good
198,show
198,other
199,properties
199,size
200,type
200,dress
201,other
201,love
202,other
202,purchase
203,fabric
203,properties
204,other
204,other
205,properties
205,size
206,type
206,dress
207,other
207,other
208,style
208,experience
209,other
209,other
210,more
210,other
211,properties
211,color
212,dress
212,type
213,fabric
213,properties
214,pant
214,type
215,wear
215,experience
216,other
216,other
217,other
217,more
218,other
218,other
219,perfect
219,emotion
220,experience
220,length
221,price
221,service
222,color
222,properties
223,dress
223,type
224,application
224,summer
225,emotion
225,beautiful
226,other
226,other
227,other
227,show
228,experience
228,fit
229,experience
229,side
230,type
230,dress
231,type
231,dress
232,other
232,type
233,size
233,properties
234,other
234,other
235,print
235,other
236,cute
236,emotion
237,type
237,pant
238,pilcro
238,other
239,other
239,retailer
240,store
240,application
241,great
241,emotion
242,look
242,other
243,casual
243,other
244,review
244,other
245,other
245,other
246,emotion
246,great
247,properties
247,color
248,application
248,time
249,time
249,service
250,other
250,other
251,few
251,emotion
252,other
252,other
253,print
253,other
254,petite
254,other
255,experience
255,right
256,day
256,other
257,application
257,store
258,other
258,look
259,size
259,properties
260,purchase
260,other
261,style
261,experience
262,few
262,emotion
263,other
263,other
264,emotion
264,perfect
265,application
265,piece
266,sweater
266,type
267,properties
267,color
268,poor
268,emotion
269,quality
269,properties
270,wash
270,application
271,other
271,other
272,type
272,dress
273,comfortable
273,other
274,other
274,other
275,petite
275,other
276,perfect
276,emotion
277,spot
277,experience
278,side
278,experience
279,dress
279,type
280,properties
280,fabric
281,other
281,other
282,other
282,other
283,type
283,shirt
284,other
284,emotion
285,type
285,other
286,emotion
286,good
287,properties
287,zipper
288,place
288,other
289,material
289,properties
290,pocket
290,properties
291,experience
291,side
292,type
292,dress
293,other
293,love
294,other
294,thread
295,other
295,other
296,good
296,emotion
297,quality
297,properties
298,other
298,stain
299,several
299,other
300,dress
300,type
301,fabric
301,properties
302,other
302,type
303,properties
303,size
304,size
304,properties
305,emotion
305,top
306,other
306,other
307,thing
307,other
308,other
308,other
309,other
309,stain
310,type
310,pant
311,experience
311,spot
312,pilcro
312,other
313,fit
313,experience
314,more
314,other
315,color
315,properties
316,other
316,light
317,dress
317,type
318,other
318,love
319,other
319,other
320,fit
320,experience
321,other
321,other
322,waist
322,experience
323,other
323,other
324,properties
324,quality
325,great
325,emotion
326,type
326,other
327,experience
327,stripe
328,type
328,pant
329,material
329,properties
330,other
330,pilcro
331,emotion
331,great
332,size
332,properties
333,other
333,other
334,other
334,blue
335,other
335,shoulder
336,material
336,properties
337,look
337,other
338,color
338,properties
339,type
339,dress
340,other
340,other
341,sweater
341,type
342,type
342,other
343,length
343,experience
344,size
344,properties
345,dress
345,type
346,beautiful
346,emotion
347,other
347,other
348,other
348,short
349,type
349,dress
350,print
350,other
351,other
351,other
352,other
352,other
353,love
353,other
354,other
354,other
355,properties
355,zipper
356,other
356,other
357,way
357,other
358,size
358,properties
359,other
359,other
360,experience
360,right
361,properties
361,pocket
362,properties
362,color
363,type
363,dress
364,other
364,other
365,compliment
365,other
366,other
366,other
367,other
367,casual
368,other
368,other
369,other
369,compliment
370,other
370,black
371,experience
371,fit
372,dress
372,type
373,other
373,other
374,good
374,emotion
375,quality
375,properties
376,other
376,black
377,emotion
377,great
378,dress
378,type
379,other
379,order
380,beautiful
380,emotion
381,other
381,other
382,fabric
382,properties
383,stripe
383,experience
384,blue
384,other
385,show
385,other
386,other
386,day
387,properties
387,white
388,color
388,properties
389,emotion
389,top
390,light
390,other
391,summer
391,application
392,other
392,other
393,material
393,properties
394,look
394,other
395,properties
395,size
396,dress
396,type
397,application
397,other
398,properties
398,color
399,other
399,order
400,other
400,other
401,other
401,experience
402,waist
402,experience
403,experience
403,length
404,other
404,retailer
405,size
405,properties
406,properties
406,color
407,other
407,service
408,way
408,other
409,shoulder
409,other
410,layer
410,other
411,other
411,retailer
412,application
412,store
413,look
413,other
414,emotion
414,top
415,fabric
415,properties
416,beautiful
416,emotion
417,other
417,other
418,emotion
418,perfect
419,type
419,sweater
420,properties
420,color
421,white
421,properties
422,time
422,application
423,service
423,time
424,other
424,other
425,nice
425,emotion
426,dress
426,type
427,properties
427,fabric
428,few
428,emotion
429,emotion
429,great
430,service
430,price
431,other
431,other
432,pant
432,type
433,store
433,application
434,color
434,properties
435,emotion
435,top
436,white
436,properties
437,type
437,dress
438,material
438,properties
439,application
439,wash
440,size
440,properties
441,type
441,dress
442,service
442,other
443,application
443,wash
444,dress
444,type
445,other
445,other
446,properties
446,color
447,type
447,dress
448,great
448,emotion
449,other
449,other
450,other
450,other
451,emotion
451,poor
452,application
452,wash
453,properties
453,quality
454,properties
454,fabric
455,other
455,other
456,place
456,other
457,experience
457,side
458,application
458,piece
459,properties
459,quality
460,other
460,several
461,thread
461,other
