reviewer_id,review,summarize,token_sentence,information,rating
0,"So flattering and so comfortable! I am in love with this dress! It has a relaxed fit style as described, and I received compliments from my sister and a stranger when I was doing groceries haha. It has pockets and a zipper on the left side. The fabric is breathable and comfortable. It fits perfectly and has the perfect length. I paired it with beige sandals and a beige crossbody bag for a casual look. For reference I am 5'1 and got a size extra small. You can also click my name to see my profile for more items I love!", So flattering and so comfortable! I am in love with this dress! It has a relaxed fit style as described . It has pockets and a zipper on the left side . The fabric is breathable and comfortable .,"● It has a relaxed fit style as described
● and I received compliments from my sister and a stranger when I was doing groceries haha.
● It has pockets and a zipper on the left side.
● The fabric is breathable and comfortable.
● It fits perfectly and has the perfect length.
● I paired it with beige sandals and a beige crossbody bag for a casual look.
● For reference I am 5'1 and got a size extra small.
● You can also click my name to see my profile for more items I love!","● type:
	- name (positive)
● other:
	- compliment (positive)
	- beige sandal (negative)
	- casual look (negative)
	- more item (positive)
	- casual look (negative)
● emotion:
	- perfect length (positive)
● experience:
	- perfect length (positive)
	- fit style (positive)
	- left side (negative)
	- fit style (positive)
● properties:
	- pocket (negative)
	- size (negative)
	- fabric (positive)
",5
1,"Cute but It Pills Great color and pattern, with the on trend âslouchyâ look without being too oversized. Material began to pill after first wearing, and became worse after first washing. Did launder inside out in cold on hand wash cycle and line dried."," Material began to pill after first wearing, and became worse after first washing . Did launder inside out in cold on hand wash cycle and line dried .","● Cute but It Pills Great color and pattern
● with the on trend slouchy look without being too oversized.
● Material began to pill after first wearing
● and became worse after first washing.
● Did launder inside out in cold on hand wash cycle and line dried.","● properties:
	- material (positive)
	- great color (positive)
● application:
	- first washing (negative)
	- wash cycle/first washing/hand wash (negative)
● other:
	- slouchy look (negative)
● emotion:
	- great color (positive)
",3
2,"It fell apart after one wash One set fell apart after one wash. Threads came loose,the ""tie"" had only one string that I can get to. It was stamped with all the product info in dark black on the butt and you can see it on the outside. One of the worst things I have ever purchased"," One set fell apart after one wash . Threads came loose, the ""tie"" had only one string that I can get to . It was stamped with all the product info in dark black on the butt .","● It fell apart after one wash One set fell apart after one wash. Threads came loose
● the ""tie"" had only one string that I can get to.
● It was stamped with all the product info in dark black on the
● One of the worst things I have ever purchased","● application:
	- wash (negative)
● other:
	- thread (negative)
	- bad thing (negative)
",1
3,"Comfortable, nice color, but LOTS of pilling. I like the fit, weight, and color of this sweater a lot. I would have purchased more colors if the fabric didnât pull so badly so quickly. I try to take good care of sweaters and launder carefully, but even so this one looks pretty bad and is almost unwearable. I guess thatâs to be expected for the price."," Comfortable, nice color, but lots of pilling . I like the fit, weight, and color of this sweater a lot . I would have purchased more colors if the fabric pulled so badly so quickly .","● nice color
● I like the fit
● weight
● I would have purchased more colors if the fabric didnt pull so badly so quickly.
● I try to take good care of sweaters and launder carefully
● but even so this one looks pretty bad and is almost unwearable.
● I guess thats to be expected for the price.","● service:
	- good care (positive)
● emotion:
	- good care (positive)
	- nice color (positive)
● experience:
	- fit (positive)
● other:
	- look (negative)
	- purchase (positive)
● properties:
	- nice color (positive)
	- fabric (positive)
",3
4,"Cute dress that.even a short, skinny old woman can wear and it covered all the necessary spots. Material is sheer. Make sure you aren't embarrassed in the sunlight."," Cute dress that.even a short, skinny old woman can wear and it covered all the necessary spots . Material is sheer. Material was sheer. Make sure you are not embarrassed in the sunlight.","● Cute dress that.even a short
● skinny old woman can wear and it covered all the necessary spots.
● Material is sheer.","● emotion:
	- cute dress (positive)
● properties:
	- material (negative)
● experience:
	- necessary spot (negative)
● type:
	- dress that.even/cute dress (positive)
",5
5,"Nice pants horrible zipper I bought 6 pair of these when I tore the tendons in my shoulder, because  they were easy to pull on with one arm. I bought size 38, and they fit perfectly.  Unfortunately  the zipper in one of my pair  came undone from the teeth.lso it's the pair I wear the most ( 4 times) bur the return window closed already. Probably will have to take somewhere for new zipper now."," Nice pants horrible zipper I bought 6 pair of these when I tore the tendons in my shoulder, because  they were easy to pull on with one arm . I bought size 38, and they fit perfectly . Unfortunately  the zipper in one of my pair  came undone from the teeth .","● Nice pants horrible zipper I bought 6 pair of these when I tore the tendons in my shoulder
● because  they were easy to pull on with one arm.
● I bought size 38
● Unfortunately  the zipper in one of my pair  came undone from the teeth.lso it is the pair I wear the most  4 times bur the return window closed already.
● Probably will have to take somewhere for new zipper now.","● application:
	- time (negative)
● service:
	- time (negative)
● properties:
	- horrible zipper/new zipper/zipper unfortunately (negative)
	- size (negative)
● experience:
	- arm (positive)
● type:
	- nice pant (negative)
● emotion:
	- nice pant (negative)
● other:
	- pair (negative)
	- horrible zipper (negative)
",2
6,Positively agree All the rave reviews are true!  this vest is plush and funky and i love wearing it. i'm having fun figuring out different outfits to wear with this. this is a great three season layering piece and i'm thrilled i was able to get it on sale.  my only regret was the lack of a petite selection., The vest is plush and funky and i love wearing it. i am having fun figuring out different outfits to wear with this. This is a great three season layering piece and i am thrilled i was able to get it on sale .,"● Positively agree All the rave reviews are true!
● this vest is plush and funky and i love wearing it.
● i am having fun figuring out different outfits to wear with this.
● this is a great three season layering piece and i am thrilled i was able to get it on sale.
● my only regret was the lack of a petite selection.","● other:
	- petite selection (negative)
	- season layer/layer piece (positive)
	- rave review (positive)
● type:
	- vest (positive)
● application:
	- layer piece (positive)
",5
7,"Lightweight yet rugged This shirt is exactly what I needed for outdoor work in the sun.  It's lightweight to help you stay cool, yet rugged enough so that it doesn't feel flimsy and fall apart after several washes.  I am satisfied with this purchase.I've learned from experience that Columbia makes their stuff a little larger than its labeled size.  I normally wear an XL in most shirts, but the Large I ordered fits just right."," Lightweight yet rugged shirt is exactly what I needed for outdoor work in the sun . It is lightweight to help you stay cool, yet rugged enough so that it does not feel flimsy .","● Lightweight yet rugged This shirt is exactly what I needed for outdoor work in the sun.
● yet rugged enough so that it does not feel flimsy and fall apart after several washes.
● I am satisfied with this purchase.I have learned from experience that Columbia makes their stuff a little larger than its labeled size.
● I normally wear an XL in most shirts
● but the Large I ordered fits just right.","● experience:
	- outdoor work (positive)
	- fit (positive)
● type:
	- shirt/most shirt (positive)
● application:
	- several wash (negative)
● other:
	- several wash (negative)
",5
8,"Very nice material, and good quality! After the first sweater I ordered was delivered, I ordered three more of different colors! Quality of material is very nice!"," Very nice material, and good quality! After the first sweater I ordered was delivered, I ordered three more of different colors! Quality of material is very nice!","● Very nice material
● and good quality!
● After the first sweater I ordered was delivered
● I ordered three more of different colors!
● Quality of material is very nice!","● type:
	- different color (positive)
	- first sweater (positive)
● emotion:
	- good quality (positive)
	- nice material (positive)
● properties:
	- material/nice material (positive)
	- different color (positive)
	- quality/good quality (positive)
● application:
	- first sweater (positive)
",5
9,LOVE IT i got the wrong size so I'm returning and getting the right size. GOT THE RIGHT SIZE AND LOVE IT., i got the wrong size so I am returning and getting the right size. LOVE IT i am returning . GOT the right SIZE AND LOVE IT. GOT the RIGHT SIZE and LOVE it. LOVE it .,"● LOVE IT i got the wrong size so I am returning and getting the right size.
● GOT THE RIGHT SIZE AND LOVE IT.","● type:
	- wrong size (positive)
● experience:
	- right size (positive)
● properties:
	- wrong size/right size (positive)
",5
