node_id,reviewer_id,first_cycle,second_cycle,category
0,1,normal,situation,place and service
1,1,other,drink,food and drink
2,2,mcdonalds,place,place and service
3,2,other,place,place and service
4,2,food,food,food and drink
5,2,staff,service,place and service
6,3,line,situation,place and service
7,3,other,service,place and service
8,3,order,food,food and drink
9,4,service,service,place and service
10,4,other,other,other
11,4,sandwich,food,food and drink
12,4,chicken,food,food and drink
13,4,customer,service,place and service
14,5,other,place,place and service
15,5,order,food,food and drink
16,5,fry,food,food and drink
17,5,large,situation,place and service
18,5,meal,food,food and drink
19,6,job,other,other
20,6,line,situation,place and service
21,6,long,situation,place and service
22,6,other,other,other
23,6,new,other,other
24,7,regular,service,place and service
25,7,regular,situation,place and service
26,7,service,service,place and service
27,7,other,place,place and service
28,7,order,food,food and drink
29,7,location,service,place and service
30,7,location,place,place and service
31,7,customer,service,place and service
32,8,other,drink,food and drink
33,8,coffee,drink,food and drink
34,8,cup,drink,food and drink
35,8,large,situation,place and service
36,9,extra,other,other
37,9,lady,service,place and service
38,9,time,service,place and service
39,9,other,place,place and service
40,9,order,food,food and drink
41,9,nugget,food,food and drink
42,9,restaurant,place,place and service
43,10,service,service,place and service
44,10,best,emotion,sentiment
45,10,people,situation,place and service
46,10,other,service,place and service
47,10,other,food,food and drink
48,11,mcdonald,place,place and service
49,11,mcdonalds,place,place and service
50,11,other,other,other
51,12,item,drink,food and drink
52,12,item,food,food and drink
53,12,lady,service,place and service
54,12,other,other,other
55,12,order,food,food and drink
56,12,food,food,food and drink
57,13,line,situation,place and service
58,13,long,situation,place and service
59,13,staff,service,place and service
60,13,other,situation,place and service
61,13,car,place,place and service
62,13,wait,situation,place and service
63,13,hour,situation,place and service
64,13,crew,service,place and service
65,13,night,situation,place and service
66,13,experience,service,place and service
67,14,restaurant,place,place and service
68,14,other,drink,food and drink
69,14,other,food,food and drink
70,14,other,place,place and service
71,14,regular,service,place and service
72,14,regular,situation,place and service
73,14,order,food,food and drink
74,15,drink,drink,food and drink
75,15,cup,drink,food and drink
76,15,service,service,place and service
77,15,lid,other,other
78,15,burger,food,food and drink
79,15,other,service,place and service
80,15,other,place,place and service
81,15,order,food,food and drink
82,15,wrong,situation,place and service
83,15,food,food,food and drink
84,16,minute,situation,place and service
85,16,other,other,other
86,16,sandwich,food,food and drink
87,16,chicken,food,food and drink
88,16,food,food,food and drink
89,16,restaurant,place,place and service
90,17,strawberry,drink,food and drink
91,17,strawberry,food,food and drink
92,17,cream,drink,food and drink
93,17,cream,food,food and drink
94,17,staff,service,place and service
95,17,other,other,other
96,18,drink,drink,food and drink
97,18,bag,other,other
98,18,other,other,other
99,19,ice,drink,food and drink
100,19,strawberry,drink,food and drink
101,19,strawberry,food,food and drink
102,19,taste,other,other
103,19,other,drink,food and drink
104,19,other,situation,place and service
105,20,staff,service,place and service
106,20,other,other,other
107,20,order,food,food and drink
108,21,item,drink,food and drink
109,21,item,food,food and drink
110,21,place,place,place and service
111,21,other,place,place and service
112,21,order,food,food and drink
113,21,car,place,place and service
114,21,experience,service,place and service
115,22,staff,service,place and service
116,22,other,service,place and service
117,22,large,situation,place and service
