id,asin,name,rating,date,verified,title,body,helpfulVotes,sub_aspect,summary,summary_point,topic,key_topic
0,B07K76LBLZ,PlaYboY BuNnY,5,"February 14, 2019",True,Best phone money can buy,So far this phone is the bees knees.,3.0,"best phone, phone, money best, bee knee, phone money"," Best phone money can buy .. so far this phone be the bee knee . So far, so far, this phone is the best phone you can buy . Phone is the world's best phone .","- Best phone money can buy.
- So far this phone is the bees knees.",0,"work, battery, great, screen"
1,B07P8MQHSH,Gemini_13,3,"August 2, 2019",True,Pixel 3 has frequent display defects,"I like this phone model. I bought this phone as a gift to my wife. Unfortunately, the phone turned out to be defective. There is a pink tint on the screen. Amazon does not want to properly help customers who are not in the USA. This is very sad.",20.0,"frequent display, amazon, pink tint, phone model, display defect, phone, pixel, customer", pixel 3 have frequent display defect .. i like this phone model .. i buy this phone as a gift to my wife .. unfortunately . the phone turn out to be defective . There be a pink tint on the screen .,"- Pixel 3 has frequent display defects.
- I like this phone model.
- I bought this phone as a gift to my wife.
- the phone turned out to be defective.
- There is a pink tint on the screen.
- Amazon does not want to properly help customers who are not in the USA.",2,"great, good, screen, iphone, issue"
2,B01NC2MEJP,Kashm30uttz,2,"April 30, 2018",True,the lower left corner of the phone doesnt work with ...,the lower left corner of the phone doesnt work with the stylus. im just so sick of having to return and then wait for my money to come back that im over it,1.0,"leave corner, low leave, phone, money sick", the low leave corner of the phone does not work with the stylus . Im just so sick of have to return and then wait for my money to come back that im over it .,"- the lower left corner of the phone doesnt work with .... the lower left corner of the phone doesnt work with the stylus.
- im just so sick of having to return and then wait for my money to come back that im over it",0,"work, battery, great, screen"
3,B018OMP8ES,Techie241,3,"January 16, 2017",True,"Great phone, be careful with the sellers","The phone is wonderful, if you're considering it, go for it, it's awesome. However my seller marked my phone as ""like new"" but the phone has scuffs on the corners (literally all four corners) and a scuff on the lock button that makes it feel gummy (no positive click like the volume buttons) and it has to be pressed hard, sometimes twice. I can live with it but I wish if I paid for like new I got like new.",10.0,"positive click, phone, volume button, seller, lock button, great phone, scuff", Seller marks seller's phone as ''like new '' but phone has scuff on the corner literally all four corners . lock button makes it feel gummy no positive click like the volume button and it have to be press hard .,"- Great phone
- The phone is wonderful
- However my seller marked my phone as ""like new"" but the phone has scuffs on the corners literally all four corners and a scuff on the lock button that makes it feel gummy no positive click like the volume buttons and it has to be pressed hard",3,"great, good, battery, screen"
4,B07QC4R451,Michelle Wildhagen,1,"June 22, 2019",True,U had no issue with the seller they were great and very helpful!,I was very disappointed in the way this phone worked it was dropping calls constantly and losing service. Not to mention it was slow. It did take very nice photos. Not worth the $120 plus price tag.,3.0,"issue, nice photo, phone work, drop call, service, price tag", i be very disappointed in the way this phone work it be drop call constantly and lose service .. not to mention it be slow .. it do take very nice photo .. not worth the 120 plus price tag .,"- U had no issue with the seller they were great and very helpful!.
- I was very disappointed in the way this phone worked it was dropping calls constantly and losing service.
- It did take very nice photos.
- Not worth the 120 plus price tag.",0,"work, battery, great, screen"
5,B077ZMWX1W,Cafali,5,"March 2, 2018",False,Nice big phone,"So, i am iphone 6 user who just went through the great slow down of 2017. I replaced my battery determined that I would not fall for the upgrade push. Still, I have a bad taste in my mouth but was scared to take the plunge to Android. I got this phone and decided I would play with it a bit until my son, a dedicated android user, would be around to help me. The set up was so intuitive and easy that I had it set up before I knew it. It was pretty fun too. It already has a lot of common apps on it (Facebook anyone?) so I haven't even had to transfer my date from my iphone to this phone yet. I'm going to take the sim card out of my iphone and play with this, but primarily, I want to get a google voice number and use it for work. A couple of things that bug me: The fingerprint system is n the back and I don't love that. Not crazy about the angled corners. But other than that, I love it!",2.0,"big phone, bit, lot, battery, plunge, phone, angled corner, user, upgrade push, bad taste, anyone, fingerprint system, sim card, date, common apps, android user, dedicated android, voice number, scar bad, google voice", i be iphone 6 user who just go through the great slow down of 2017 .. i replace my battery determine that i would not fall for the upgrade push .. still. i have a bad taste in my mouth but be,"- Nice big phone.
- i am iphone 6 user who just went through the great slow down of 2017.
- I replaced my battery determined that I would not fall for the upgrade push.
- I have a bad taste in my mouth but was scared to take the plunge to Android.
- I got this phone and decided I would play with it a bit until my son
- a dedicated android user
- It already has a lot of common apps on it Facebook anyone
- so I have not even had to transfer my date from my iphone to this phone yet.
- I am going to take the sim card out of my iphone and play with this
- I want to get a google voice number and use it for work.
- A couple of things that bug me: The fingerprint system is n the back and I do not love that.
- Not crazy about the angled corners.",8,"good, battery, iphone, issue"
6,B07KX1L519,Anthony Elias,5,"August 12, 2019",True,Good phone!,I personally think this phone is near perfect. Delivery was quick but not teleportation quick. The box came with - Galaxy A50 - Case - Sim tool - Quick charge American adapter and cable type c - low quality headphones I have used this phone for a while now and its really almost flagship level. For the price it's perfect. It will work 4g lte GSM for most providers in the States. I'll update if it works on Cricket. Performance great. UI great. Camera great. The security is great as well. But the finger scanner in the screen is not the best but it gets the job done. It looks amazing as well! Overall good phone. Edit: It works perfectly with Cricket with 4g lte.,1.0,"good phone, type c, american adapter, quick charge, cable type, security, sim tool, flagship level, phone, finger scanner, job, lte gsm, quality headphone, use, camera, screen, 4g lte, edit, performance, most provider, box, delivery, galaxy a50, low quality", Box comes with - galaxy a50 - case - sim tool - quick charge american adapter and cable type c - low quality headphone .,"- Good phone!.
- I personally think this phone is near perfect.
- Delivery was quick
- The box came with - Galaxy A50 - Case - Sim tool - Quick charge American adapter and cable type c - low quality headphones I have used this phone for a while now and its really almost flagship level.
- It will work 4g lte GSM for most providers in the States.
- Performance great.
- Camera great.
- The security is great as well.
- But the finger scanner in the screen is not the best
- it gets the job done.
- Overall good phone.
- Edit: It works perfectly with Cricket with 4g lte.",3,"great, good, battery, screen"
7,B01D53A7KG,Dillon L.,2,"February 12, 2018",True,Poorly fitted glass + bad reception = return,"The phone I received was indeed an AT&T phone. The front and back glass had both been replaced and the finish was flawless. That, unfortunately, is where the good ends and the bad begins. I had to return this phone. I have extremely poor reception, which I suspect is a problem with the device I received rather than a problem inherent to the S6. The other issue is that, although the glass had been replaced, it was not seated properly or flush with the edges. I could get my thumb nail underneath the glass and see the dust/lint that had collected inside. Obviously does not have the water-resistant properties that it would have had from the factory. Thank god for amazon's return policy.",1.0,"god, dust, fit glass, att phone, finish, good end, phone, end bad good, glass, resistant property, other issue, front, thumb nail, return policy, poor reception, bad reception", The phone i receive be indeed an att phone .. the front and back glass have both be replace and the finish be flawless .. unfortunately. unfortunately. i have extremely poor reception. which i suspect be a problem with the device i,"- Poorly fitted glass + bad reception = return.
- The phone I received was indeed an ATT phone.
- The front and back glass had both been replaced and the finish was flawless.
- is where the good ends and the bad begins.
- I had to return this phone.
- I have extremely poor reception
- The other issue is that
- although the glass had been replaced
- I could get my thumb nail underneath the glass and see the dust/lint that had collected inside.
- Obviously does not have the water-resistant properties that it would have had from the factory.
- Thank god for amazon's return policy.",6,"issue, good, samsung, great"
8,B072ZWCKP5,Joan Andrés Villa Peralta,5,"September 20, 2017",True,Five Stars,"Awesome phone, great value. Runs all apps smoothly, takes really good photos and it's overall comfortable to use.",2.0,"great value, awesome phone, apps, good photo", five star .. awesome phone. great value .. run all apps smoothly . take really good photo and it be overall comfortable to use .,"- Awesome phone
- great value.
- Runs all apps smoothly
- takes really good photos and it is overall comfortable to use.",3,"great, good, battery, screen"
9,B07J4Z9647,winnie,5,"April 2, 2019",True,cheap and useful,huawei always gives us surprise! This price phone is amazing:D,1.0,"huawei, surprise, price phone", Huawei always give us surprise ! This price phone be amazing : d . cheap and useful .. huawei always give we surprise !,"- huawei always gives us surprise!
- This price phone is amazing:D",0,"work, battery, great, screen"
