Title,Review,Cons_rating,Cloth_class,Materials,Construction,Color,Finishing,Durability
So flattering and so comfortable!,"I am in love with this dress! It has a relaxed fit style as described, and I received compliments from my sister and a stranger when I was doing groceries haha. It has pockets and a zipper on the left side. The fabric is breathable and comfortable. It fits perfectly and has the perfect length. I paired it with beige sandals and a beige crossbody bag for a casual look. For reference I am 5'1 and got a size extra small. You can also click my name to see my profile for more items I love!",5.0,Dresses,0.0,1.0,0.0,1.0,0.0
Cute but It Pills,"Great color and pattern, with the on trend “slouchy” look without being too oversized. Material began to pill after first wearing, and became worse after first washing. Did launder inside out in cold on hand wash cycle and line dried.",3.0,Sweaters,0.0,0.0,1.0,0.0,1.0
It fell apart after one wash,"One set fell apart after one wash. Threads came loose,the ""tie"" had only one string that I can get to. It was stamped with all the product info in dark black on the butt and you can see it on the outside. One of the worst things I have ever purchased",1.0,Sleep,0.0,0.0,1.0,0.0,1.0
"Comfortable, nice color, but LOTS of pilling.","I like the fit, weight, and color of this sweater a lot. I would have purchased more colors if the fabric didn’t pull so badly so quickly. I try to take good care of sweaters and launder carefully, but even so this one looks pretty bad and is almost unwearable. I guess that’s to be expected for the price.",3.0,Sweaters,1.0,1.0,1.0,0.0,0.0
"Cute dress that.even a short, skinny old woman can wear and it covered all the necessary spots.",Material is sheer. Make sure you aren't embarrassed in the sunlight.,5.0,Dresses,1.0,0.0,0.0,0.0,0.0
Nice pants horrible zipper,"I bought 6 pair of these when I tore the tendons in my shoulder, because  they were easy to pull on with one arm. I bought size 38, and they fit perfectly.  Unfortunately  the zipper in one of my pair  came undone from the teeth.lso it's the pair I wear the most ( 4 times) bur the return window closed already. Probably will have to take somewhere for new zipper now.",2.0,Pants,0.0,0.0,0.0,0.0,1.0
Positively agree,All the rave reviews are true!  this vest is plush and funky and i love wearing it. i'm having fun figuring out different outfits to wear with this. this is a great three season layering piece and i'm thrilled i was able to get it on sale.  my only regret was the lack of a petite selection.,5.0,Fine gauge,1.0,0.0,0.0,0.0,0.0
Lightweight yet rugged,"This shirt is exactly what I needed for outdoor work in the sun.  It's lightweight to help you stay cool, yet rugged enough so that it doesn't feel flimsy and fall apart after several washes.  I am satisfied with this purchase.I've learned from experience that Columbia makes their stuff a little larger than its labeled size.  I normally wear an XL in most shirts, but the Large I ordered fits just right.",5.0,Shirts,1.0,1.0,0.0,0.0,1.0
"Very nice material, and good quality!","After the first sweater I ordered was delivered, I ordered three more of different colors! Quality of material is very nice!",5.0,Sweaters,1.0,0.0,0.0,0.0,0.0
LOVE IT,i got the wrong size so I'm returning and getting the right size. GOT THE RIGHT SIZE AND LOVE IT.,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
It shrinks,"Overall for the price it’s a cute sweater. It’s stretchy enough to where you can pull it back to normal but it’s going to be an often occurrence. It’s very soft and actually very comfy to wear.HOWEVER. This thing shrinks like heck in the dryer and it shows in the sleeves (which come up a couple inches). It also shrinks the neckline that will then hug your neck. One size fits all is a mild laugh, if you are any sort of busty then prepare to show that off. Very much wish there were sizes so I could go up one.Other than that not a horrible purchase for the colder months and something cute to wear that’s not Xmas related.",5.0,Sweaters,1.0,1.0,0.0,1.0,0.0
Slip,Dress was great but I don't have a flat butt so everyone I walk the slip rides up bad. It would be nice if the slip was sewn in. Might have to have this done on my own. I got lots of compliments on the dress it was super cute for the price.,4.0,Dresses,0.0,1.0,0.0,0.0,0.0
Fits like maternity,"I wanted to love this, was so excited when i ordered it online. the fabric (blue and white) was beautiful, but the cut was bad. it fit me like a maternity top, and made me look like i was 6 months along. i have a feeling that the models had theirs pinned back, in the back, because it does not lay flat like that in front, it has a lot of fabric with no place to go but up and out. returning.",2.0,Blouses,1.0,1.0,1.0,0.0,0.0
Horribly made didn’t even make it from the room to the hotel lobby,"If I could give it less stars I would absolutely horrible. Didn’t even make it to the hotel lobby and it was falling apart. 3/6 grooms that wore it had isssues, seems coming undone, sippers breaking, the little adjusters on the waste falling apart!! Don’t waste your time you will be disappointed.",1.0,Suits,0.0,0.0,0.0,0.0,1.0
Poor quality,The turtle neck ripped half way off after one wear…,1.0,Sweaters,0.0,0.0,0.0,0.0,1.0
Fit perfectly sheer like linen without all the wrinkles,I ordered it in a 2X and black fit perfectly comfortable for a day now with a wedge sandal heel,5.0,Dresses,0.0,1.0,1.0,0.0,0.0
Most comfortable sweater I have,"I will be buying another one of these. I love this sweater. Soft, warm, and stretchy.",5.0,Sweaters,1.0,0.0,0.0,1.0,0.0
Classic with a twist,"Beautiful pajama bottoms. i purchased these as a special treat for myself. luckily, i found a review on another site, stating that these run small, before pirchasing. no one wants tight pjs. order a size up! also, i'm 5'8"" tall and the length is just right. if you are taller, you may find this style too short. i haven't ordered the top, because i'm not sure of the fit, but i'm guessing it also runs small, based on the photo.",5.0,Intimates,0.0,1.0,0.0,0.0,0.0
Love the black,I bought this in black and it did require me to wear a shirt underneath as it was a little sheer/see through. i usually wear an xs and i wore the same in this top. the black is very pretty and goes well with some skinny jeans.,5.0,Knits,1.0,0.0,1.0,0.0,0.0
Cargo shorts material is too thin.,"At best this is a $10 pair of shorts, they belong on the clearance rack,",2.0,Shorts,0.0,0.0,0.0,0.0,0.0
Super cute!,Wore to a wedding and it fit perfectly! Got some compliments as well which was nice! Fits right above the knee; when you raise your arms though it goes to the upper thigh.,5.0,Dresses,0.0,1.0,0.0,0.0,0.0
